time,energy_cashflow,energy_generation_costs,heat,power,simulation,total_costs,unit
2019-01-01 00:00:00,,0,0,0,base_un_base,,pp_1
2019-01-01 00:00:00,,0,0,0,base_un_base,,pp_2
2019-01-01 00:00:00,,0,0,0,base_un_base,,pp_4
2019-01-01 00:00:00,,0,0,0,base_un_base,,pp_7
2019-01-01 00:00:00,,0,0,0,base_un_base,,pp_8
2019-01-01 00:00:00,,0,0,0,base_un_base,,pp_9
2019-01-01 00:00:00,,0,0,0,base_un_base,,pp_10
2019-01-01 00:00:00,,0,,0,base_un_base,,demand_EOM
2019-01-01 00:00:00,,0,0,0,base_un_base,,pp_3
2019-01-01 00:00:00,,0,0,0,base_un_base,,pp_5
2019-01-01 00:00:00,,0,0,0,base_un_base,,Solar
2019-01-01 02:00:00,54000,12000,0,1000,base_un_base,,pp_1
2019-01-01 02:00:00,54000,12000,0,1000,base_un_base,,pp_2
2019-01-01 02:00:00,54000,24000,0,1000,base_un_base,,pp_4
2019-01-01 02:00:00,0,0,0,0,base_un_base,,pp_7
2019-01-01 02:00:00,27000,27000,0,500,base_un_base,,pp_8
2019-01-01 02:00:00,27000,27000,0,500,base_un_base,,pp_9
2019-01-01 02:00:00,0,0,0,0,base_un_base,,pp_10
2019-01-01 02:00:00,-3.24e+05,1.8e+07,,-6000,base_un_base,,demand_EOM
2019-01-01 02:00:00,54000,18000,0,1000,base_un_base,18000,pp_3
2019-01-01 02:00:00,54000,24000,0,1000,base_un_base,24000,pp_5
2019-01-01 02:00:00,,0,0,0,base_un_base,,Solar
2019-01-01 04:00:00,54000,12000,0,1000,base_un_base,,pp_1
2019-01-01 04:00:00,54000,12000,0,1000,base_un_base,,pp_2
2019-01-01 04:00:00,54000,24000,0,1000,base_un_base,,pp_4
2019-01-01 04:00:00,27000,27000,0,500,base_un_base,,pp_7
2019-01-01 04:00:00,27000,27000,0,500,base_un_base,,pp_8
2019-01-01 04:00:00,0,0,0,0,base_un_base,,pp_9
2019-01-01 04:00:00,0,0,0,0,base_un_base,,pp_10
2019-01-01 04:00:00,-3.24e+05,1.8e+07,,-6000,base_un_base,,demand_EOM
2019-01-01 04:00:00,54000,18000,0,1000,base_un_base,18000,pp_3
2019-01-01 04:00:00,54000,24000,0,1000,base_un_base,24000,pp_5
2019-01-01 04:00:00,,0,0,0,base_un_base,,Solar
2019-01-01 06:00:00,54000,12000,0,1000,base_un_base,,pp_1
2019-01-01 06:00:00,54000,12000,0,1000,base_un_base,,pp_2
2019-01-01 06:00:00,54000,24000,0,1000,base_un_base,,pp_4
2019-01-01 06:00:00,27000,27000,0,500,base_un_base,,pp_7
2019-01-01 06:00:00,0,0,0,0,base_un_base,,pp_8
2019-01-01 06:00:00,27000,27000,0,500,base_un_base,,pp_9
2019-01-01 06:00:00,0,0,0,0,base_un_base,,pp_10
2019-01-01 06:00:00,-3.24e+05,1.8e+07,,-6000,base_un_base,,demand_EOM
2019-01-01 06:00:00,54000,18000,0,1000,base_un_base,18000,pp_3
2019-01-01 06:00:00,54000,24000,0,1000,base_un_base,24000,pp_5
2019-01-01 06:00:00,,0,0,0,base_un_base,,Solar
2019-01-01 08:00:00,54000,12000,0,1000,base_un_base,,pp_1
2019-01-01 08:00:00,54000,12000,0,1000,base_un_base,,pp_2
2019-01-01 08:00:00,54000,24000,0,1000,base_un_base,,pp_4
2019-01-01 08:00:00,0,0,0,0,base_un_base,,pp_7
